timestamp,symbol,event_type,side,qty,price,position,position_id,order_id,status,notes
2026-04-16T03:10:32.000Z,EURUSD,position_opened,BUY,0.01,1.18044,0.01,7834826,2450013,entered,validation:breakeven
2026-04-16T00:10:33.564Z,EURUSD,position_modified,BUY,0.01,,0.01,,,entered,breakeven_moved
2026-04-16T03:10:34.000Z,EURUSD,position_closed,BUY,0.01,1.1803,0,7834826,2450014,closed,mt5-history:loss_close
2026-04-16T03:10:37.000Z,EURUSD,position_opened,BUY,0.04,1.18044,0.04,7834828,2450015,entered,validation:partial-only
2026-04-16T00:10:39.059Z,EURUSD,position_modified,BUY,0.04,,0.04,,,tp1_hit,partial_tp_taken|tp1_hit|breakeven_moved
2026-04-16T03:10:38.000Z,EURUSD,position_reduced,BUY,0.02,1.18031,0.02,7834828,2450016,tp1_hit,mt5-history:partial_close
2026-04-16T03:10:39.000Z,EURUSD,position_closed,BUY,0.02,1.18031,0,7834828,2450017,closed,mt5-history:loss_close
2026-04-16T03:11:04.000Z,EURUSD,position_opened,BUY,0.04,1.18045,0.04,7834831,2450018,entered,validation:partial-trailing
2026-04-16T00:11:05.596Z,EURUSD,position_modified,BUY,0.04,,0.04,,,tp1_hit,partial_tp_taken|tp1_hit|breakeven_moved
2026-04-16T03:11:05.000Z,EURUSD,position_reduced,BUY,0.02,1.18031,0.02,7834831,2450019,tp1_hit,mt5-history:partial_close
2026-04-16T00:11:06.336Z,EURUSD,position_modified,BUY,0.02,,0.02,,,tp1_hit,trail_stop_advanced
2026-04-16T00:11:07.066Z,EURUSD,position_modified,BUY,0.02,,0.02,,,tp1_hit,trailing_started
2026-04-16T03:11:07.000Z,EURUSD,position_closed,BUY,0.02,1.18031,0,7834831,2450020,closed,mt5-history:loss_close
2026-04-16T06:00:04.376Z,EURUSD,order_placed,BUY,0.68,1.17949,0,,,submitted,Submitting long entry order
2026-04-16T06:00:05.107Z,EURUSD,position_opened,BUY,0.68,1.18064,0.68,7836012,2451197,ok,Initial long entry
2026-04-16T13:18:08.964Z,EURUSD,order_placed,BUY,0.32,1.17978,0.68,,,submitted,Submitting long entry order
2026-04-16T13:18:09.693Z,EURUSD,position_opened,BUY,0.32,1.17829,1,7840918,2455995,ok,Bias scale-in long entry
2026-04-16T13:19:03.960Z,EURUSD,order_placed,BUY,0.32,1.17978,0.68,,,submitted,Submitting long entry order
2026-04-16T13:19:04.689Z,EURUSD,position_opened,BUY,0.32,1.17829,1,7840924,2456001,ok,Bias scale-in long entry
2026-04-16T16:18:59.000Z,EURUSD,position_closed,BUY,0.32,1.17813,0,7840918,2455998,sl_hit,mt5-history:stop_loss
2026-04-16T13:24:00.003Z,EURUSD,order_placed,BUY,0.32,1.17978,0.68,,,submitted,Submitting long entry order
2026-04-16T13:24:00.740Z,EURUSD,position_opened,BUY,0.32,1.17824,1,7840954,2456034,ok,Bias scale-in long entry
2026-04-16T16:23:57.000Z,EURUSD,position_closed,BUY,0.32,1.17812,0,7840924,2456033,sl_hit,mt5-history:stop_loss
2026-04-16T13:24:23.972Z,EURUSD,order_placed,BUY,0.32,1.17978,0.68,,,submitted,Submitting long entry order
2026-04-16T13:24:24.715Z,EURUSD,position_opened,BUY,0.32,1.17819,1,7840958,2456038,ok,Bias scale-in long entry
2026-04-16T16:24:21.000Z,EURUSD,position_closed,BUY,0.32,1.17807,0,7840954,2456037,closed,mt5-history:loss_close
2026-04-16T13:29:27.014Z,EURUSD,order_placed,BUY,0.32,1.17978,0.68,,,submitted,Submitting long entry order
2026-04-16T13:29:27.748Z,EURUSD,position_opened,BUY,0.32,1.17814,1,7840976,2456056,ok,Bias scale-in long entry
2026-04-16T13:30:06.240Z,EURUSD,order_placed,BUY,0.32,1.17917,0.68,,,submitted,Submitting long entry order
2026-04-16T13:30:07.020Z,EURUSD,position_opened,BUY,0.32,1.17805,1,7840992,2456073,ok,Bias scale-in long entry
2026-04-16T16:29:22.000Z,EURUSD,position_closed,BUY,0.32,1.17803,0,7840958,2456053,closed,mt5-history:loss_close
2026-04-16T16:30:04.000Z,EURUSD,position_closed,BUY,0.32,1.17797,0,7840976,2456070,closed,mt5-history:loss_close
2026-04-16T13:30:14.745Z,EURUSD,order_placed,BUY,0.32,1.17917,0.68,,,submitted,Submitting long entry order
2026-04-16T16:30:08.000Z,EURUSD,position_closed,BUY,0.32,1.17789,0,7840992,2456074,sl_hit,mt5-history:stop_loss
2026-04-16T13:30:15.482Z,EURUSD,position_opened,BUY,0.32,1.17801,1,7840994,2456075,ok,Bias scale-in long entry
2026-04-16T13:30:23.227Z,EURUSD,order_placed,BUY,0.32,1.17917,0.68,,,submitted,Submitting long entry order
2026-04-16T13:30:24.015Z,EURUSD,position_opened,BUY,0.32,1.17803,1,7841000,2456082,ok,Bias scale-in long entry
2026-04-16T13:30:47.218Z,EURUSD,order_placed,BUY,0.32,1.17917,0.68,,,submitted,Submitting long entry order
2026-04-16T13:30:47.995Z,EURUSD,position_opened,BUY,0.32,1.17796,1,7841013,2456095,ok,Bias scale-in long entry
