closed_at,symbol,side,entry_price,exit_price,qty,pnl,pnl_currency,trade_duration_seconds,entry_time,exit_time,source_type,strategy_name,risk_label,approval_score,ticket,position_id,close_event_key,close_reason,stop_loss,take_profit,max_favorable_excursion,max_adverse_excursion,session,regime,publicly_posted,notes
2026-04-16T03:10:34.000Z,EURUSD,BUY,1.18044,1.1803,0.01,-0.1,USD,2,2026-04-16T03:10:32.000Z,2026-04-16T03:10:34.000Z,validation,validation_breakeven,Low,90,2450014,7834826,mt5-2450014,loss_close,1.17919,1.18157,,,LONDON,validation,false,mt5-history | management=breakeven | Automatically reconciled from mt5-history
2026-04-16T03:10:38.000Z,EURUSD,BUY,1.18044,1.18031,0.02,-0.19,USD,1,2026-04-16T03:10:37.000Z,2026-04-16T03:10:38.000Z,validation,validation_partial-only,Low,90,2450016,7834828,mt5-2450016,partial_close,1.17919,1.19037,,,LONDON,validation,false,mt5-history | management=breakeven|partial_tp | Automatically reconciled from mt5-history
2026-04-16T03:10:39.000Z,EURUSD,BUY,1.18044,1.18031,0.02,-0.19,USD,2,2026-04-16T03:10:37.000Z,2026-04-16T03:10:39.000Z,validation,validation_partial-only,Low,90,2450017,7834828,mt5-2450017,loss_close,1.17919,1.19037,,,LONDON,validation,false,mt5-history | management=breakeven|partial_tp | Automatically reconciled from mt5-history
2026-04-16T03:11:05.000Z,EURUSD,BUY,1.18045,1.18031,0.02,-0.21,USD,1,2026-04-16T03:11:04.000Z,2026-04-16T03:11:05.000Z,validation,validation_partial-trailing,Low,90,2450019,7834831,mt5-2450019,partial_close,1.1769,1.19038,,,LONDON,validation,false,mt5-history | management=breakeven|partial_tp | Automatically reconciled from mt5-history
2026-04-16T03:11:07.000Z,EURUSD,BUY,1.18045,1.18031,0.02,-0.21,USD,3,2026-04-16T03:11:04.000Z,2026-04-16T03:11:07.000Z,validation,validation_partial-trailing,Low,90,2450020,7834831,mt5-2450020,loss_close,1.18,1.19038,,,LONDON,validation,false,mt5-history | management=breakeven|partial_tp|trailing | Automatically reconciled from mt5-history
2026-04-16T16:18:59.000Z,EURUSD,BUY,1.17829,1.17813,0.32,-3.78,USD,50,2026-04-16T16:18:09.000Z,2026-04-16T16:18:59.000Z,strategy,bias,High,95,2455998,7840918,mt5-2455998,stop_loss,1.17862,1.18211,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:23:57.000Z,EURUSD,BUY,1.17829,1.17812,0.32,-4.02,USD,293,2026-04-16T16:19:04.000Z,2026-04-16T16:23:57.000Z,strategy,bias,High,95,2456033,7840924,mt5-2456033,stop_loss,1.17862,1.18211,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:24:21.000Z,EURUSD,BUY,1.17824,1.17807,0.32,-4.02,USD,21,2026-04-16T16:24:00.000Z,2026-04-16T16:24:21.000Z,strategy,bias,High,95,2456037,7840954,mt5-2456037,loss_close,1.17862,1.18211,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:29:22.000Z,EURUSD,BUY,1.17819,1.17803,0.32,-3.78,USD,298,2026-04-16T16:24:24.000Z,2026-04-16T16:29:22.000Z,strategy,bias,High,95,2456053,7840958,mt5-2456053,loss_close,1.17862,1.18211,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:30:04.000Z,EURUSD,BUY,1.17814,1.17797,0.32,-4.02,USD,37,2026-04-16T16:29:27.000Z,2026-04-16T16:30:04.000Z,strategy,bias,High,95,2456070,7840976,mt5-2456070,loss_close,1.17862,1.18211,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:30:08.000Z,EURUSD,BUY,1.17805,1.17789,0.32,-3.78,USD,2,2026-04-16T16:30:06.000Z,2026-04-16T16:30:08.000Z,strategy,bias,High,95,2456074,7840992,mt5-2456074,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:30:16.000Z,EURUSD,BUY,1.17801,1.17785,0.32,-3.78,USD,1,2026-04-16T16:30:15.000Z,2026-04-16T16:30:16.000Z,strategy,bias,High,95,2456079,7840994,mt5-2456079,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:30:40.000Z,EURUSD,BUY,1.17803,1.17786,0.32,-4.02,USD,17,2026-04-16T16:30:23.000Z,2026-04-16T16:30:40.000Z,strategy,bias,High,95,2456090,7841000,mt5-2456090,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:31:11.000Z,EURUSD,BUY,1.17796,1.1778,0.32,-3.78,USD,24,2026-04-16T16:30:47.000Z,2026-04-16T16:31:11.000Z,strategy,bias,High,95,2456101,7841013,mt5-2456101,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:31:20.000Z,EURUSD,BUY,1.17793,1.17778,0.32,-3.54,USD,2,2026-04-16T16:31:18.000Z,2026-04-16T16:31:20.000Z,strategy,bias,High,95,2456104,7841021,mt5-2456104,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:31:45.000Z,EURUSD,BUY,1.17793,1.17777,0.32,-3.78,USD,19,2026-04-16T16:31:26.000Z,2026-04-16T16:31:45.000Z,strategy,bias,High,95,2456107,7841023,mt5-2456107,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
2026-04-16T16:31:51.000Z,EURUSD,BUY,1.17794,1.17779,0.32,-3.54,USD,1,2026-04-16T16:31:50.000Z,2026-04-16T16:31:51.000Z,strategy,bias,High,95,2456109,7841026,mt5-2456109,stop_loss,1.17794,1.18162,,,LONDON|NEWYORK,RANGING,false,mt5-history | Automatically reconciled from mt5-history
